Date	Transaction	Amount	Name	Memo
3/10/2021	OTHER	20.88	Interac - Purchase - MCDONALD'S 	MCDONALD'S #270 ST.LEONARD  QC  CA
3/11/2021	OTHER	0.66	Withdrawal to Tangerine Savings 	Transferred
3/12/2021	OTHER	48.15	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
3/13/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/13/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/13/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/13/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/13/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/13/2021	OTHER	22.25	Interac - Purchase - CABANE SUCR	CABANE SUCRE CO SAINT-EUST  QC  CA
3/13/2021	OTHER	39.44	Interac - Purchase - JEAN COUTU 	JEAN COUTU #092 MONTREAL  QC  CA
3/13/2021	OTHER	36.79	Interac - Purchase - JEAN COUTU 	JEAN COUTU #092 MONTREAL  QC  CA
3/14/2021	OTHER	1.52	Withdrawal to Tangerine Savings 	Transferred
3/15/2021	OTHER	50	Interac - Purchase - PETRO-CANAD	PETRO-CANADA MONTREAL  QC  CA
3/15/2021	OTHER	13.5	Interac - Purchase - MARCHE SOUP	MARCHE SOUPSON MONTREAL  QC  CA
3/16/2021	OTHER	0.5	Withdrawal to Tangerine Savings 	Transferred
3/16/2021	OTHER	15.49	Interac - Purchase - MCDONALD'S 	MCDONALD'S #795 MONTREAL  QC  CA
3/17/2021	OTHER	0.51	Withdrawal to Tangerine Savings 	Transferred
3/17/2021	OTHER	11.25	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/17/2021	OTHER	17.36	Interac - Purchase - POIVRE ET S	POIVRE ET SEL MONTREAL  QC  CA
3/17/2021	OTHER	18.46	Interac - Purchase - BOL DE VIE 	BOL DE VIE MONTREAL  QC  CA
3/17/2021	OTHER	15.74	Interac - Purchase - COUCHETARD 	COUCHETARD #321 MONTREAL  QC  CA
3/18/2021	OTHER	2.69	Withdrawal to Tangerine Savings 	Transferred
3/18/2021	OTHER	206.46	EFT Withdrawal to CIE BELAIR	To CIE BELAIR
3/18/2021	OTHER	11.9	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/18/2021	OTHER	80	INTERAC e-Transfer To: Lydia Bou	Transferred
3/19/2021	OTHER	0.64	Withdrawal to Tangerine Savings 	Transferred
3/13/2021	OTHER	1.23	Reversal of Withdrawal to Tanger	Transferred
3/13/2021	OTHER	1.23	Reversal of Withdrawal to Tanger	Transferred
3/13/2021	OTHER	1.23	Reversal of Withdrawal to Tanger	Transferred
3/13/2021	OTHER	1.23	Reversal of Withdrawal to Tanger	Transferred
3/19/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/19/2021	OTHER	25.33	Interac - Purchase - Subway 6152	Subway 61523 Montreal  QC  CA
3/19/2021	OTHER	23.58	Interac - Purchase - COUCHETARD 	COUCHETARD #365 MONTREAL  QC  CA
3/20/2021	OTHER	2.31	Withdrawal to Tangerine Savings 	Transferred
3/20/2021	OTHER	14.1	Interac - Purchase - SAQ23173 MA	SAQ23173 MASSON MONTREAL  QC  CA
3/20/2021	OTHER	44.67	Interac - Purchase - BOUCHERIE A	BOUCHERIE AUX D MONTREAL  QC  CA
3/21/2021	OTHER	1.23	Withdrawal to Tangerine Savings 	Transferred
3/21/2021	OTHER	32.3	Interac - Purchase - ALIMENTATIO	ALIMENTATION P. SAINT-LEON  QC  CA
3/22/2021	OTHER	0.7	Withdrawal to Tangerine Savings 	Transferred
3/22/2021	OTHER	14.21	Interac - Purchase - BROCCA MONT	BROCCA MONTREAL  QC  CA
3/23/2021	OTHER	0.79	Withdrawal to Tangerine Savings 	Transferred
3/23/2021	OTHER	12.17	Interac - Purchase - BROCCA MONT	BROCCA MONTREAL  QC  CA
3/24/2021	OTHER	0.83	Withdrawal to Tangerine Savings 	Transferred
3/24/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
3/24/2021	OTHER	68.89	Interac - Purchase - ADDISON ELE	ADDISON ELECTRO MONTREAL  QC  CA
3/24/2021	OTHER	30.98	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
3/25/2021	OTHER	0.13	Withdrawal to Tangerine Savings 	Transferred
3/25/2021	OTHER	349.99	INTERAC e-Transfer From: LES PRO	Transferred
3/25/2021	OTHER	37.94	Interac - Purchase - ADDISON ELE	ADDISON ELECTRO MONTREAL  QC  CA
3/25/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/26/2021	OTHER	17.5	Withdrawal to Tangerine Savings 	Transferred
3/26/2021	OTHER	0.85	Withdrawal to Tangerine Savings 	Transferred
3/26/2021	OTHER	18.12	Interac - Purchase - ROY JU CEP 	ROY JU CEP REST DRUMMONDVI  QC  CA
3/27/2021	OTHER	0.88	Withdrawal to Tangerine Savings 	Transferred
3/27/2021	OTHER	33.73	Interac - Purchase - L'EQUIPEUR 	L'EQUIPEUR #92 ANJOU  QC  CA
3/27/2021	OTHER	4.95	Interac - Purchase - CREME GLACE	CREME GLACEE LA ANJOU  QC  CA
3/27/2021	OTHER	70.53	Interac - Purchase - RONA QUINC 	RONA QUINC BELA MONTREAL  QC  CA
3/27/2021	OTHER	30.74	Interac - Purchase - COUCHETARD 	COUCHETARD #321 MONTREAL  QC  CA
3/27/2021	OTHER	18.8	Interac - Purchase - SAQ23173 MA	SAQ23173 MASSON MONTREAL  QC  CA
3/28/2021	OTHER	2.24	Withdrawal to Tangerine Savings 	Transferred
3/28/2021	OTHER	24.2	Interac - Purchase - CANADIAN TI	CANADIAN TIRE S ST-LEONARD  QC  CA
3/28/2021	OTHER	28.36	Interac - Purchase - RESTAURANT 	RESTAURANT PHO MONTREAL  QC  CA
3/29/2021	OTHER	1.44	Withdrawal to Tangerine Savings 	Transferred
3/30/2021	OTHER	16.04	Interac - Purchase - ADDISON ELE	ADDISON ELECTRO MONTREAL  QC  CA
3/30/2021	OTHER	20.13	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
3/31/2021	OTHER	1.83	Withdrawal to Tangerine Savings 	Transferred
3/31/2021	OTHER	11.9	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
3/31/2021	OTHER	0.02	Interest Paid	
4/1/2021	OTHER	0.1	Withdrawal to Tangerine Savings 	Transferred
4/1/2021	OTHER	600	INTERAC e-Transfer To: Marie Cla	Transferred
4/1/2021	OTHER	11.9	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/2/2021	OTHER	0.1	Withdrawal to Tangerine Savings 	Transferred
